t,vEgo,aEgo,roll,targetLateralAcceleration,steerCommand
0,1,0,0,0,0
0.1,1,0,0,0,0
0.2,1,0,0,0,0
0.3,1,0,0,0,0
0.4,1,0,0,0,0
0.5,1,0,0,0,0
0.6,1,0,0,0,0
0.7,1,0,0,0,0
0.8,1,0,0,0,0
0.9,1,0,0,0,0
1,1,0,0,0,0
1.1,1,0,0,0,0
1.2,1,0,0,0,0
1.3,1,0,0,0,0
1.4,1,0,0,0,0
1.5,1,0,0,0,0
1.6,1,0,0,0,0
1.7,1,0,0,0,0
1.8,1,0,0,0,0
1.9,1,0,0,0,0
2,1,0,0,0,0
2.1,1,0,0,0,0
2.199999999,1,0,0,0,0
2.299999999,1,0,0,0,0
2.399999999,1,0,0,0,0
2.499999999,1,0,0,0,0
2.599999999,1,0,0,0,0
2.699999999,1,0,0,0,0
2.799999999,1,0,0,0,0
2.899999999,1,0,0,0,0
2.999999999,1,0,0,0,0
3.099999999,1,0,0,0,0
3.199999999,1,0,0,0,0
3.299999999,1,0,0,0,0
3.399999999,1,0,0,0,0
3.499999999,1,0,0,0,0
3.599999999,1,0,0,0,0
3.699999999,1,0,0,0,0
3.799999999,1,0,0,0,0
3.899999999,1,0,0,0,0
3.999999999,1,0,0,0,0
4.099999999,1,0,0,0,0
4.199999999,1,0,0,0,0
4.299999999,1,0,0,0,0
4.399999999,1,0,0,0,0
4.499999999,1,0,0,0,0
4.599999999,1,0,0,0,0
4.699999999,1,0,0,0,0
4.799999999,1,0,0,0,0
4.899999999,1,0,0,0,0
4.999999999,1,0,0,0,0
5.099999999,1,0,0,0,0
5.199999999,1,0,0,0,0
5.299999999,1,0,0,0,0
5.399999999,1,0,0,0,0
5.499999999,1,0,0,0,0
5.599999999,1,0,0,0,0
5.699999999,1,0,0,0,0
5.799999999,1,0,0,0,0
5.899999999,1,0,0,0,0
5.999999999,1,0,0,0,0
6.099999999,1,0,0,0,0
6.199999999,1,0,0,0,0
6.299999999,1,0,0,0,0
6.399999999,1,0,0,0,0
6.499999998,1,0,0,0,0
6.599999998,1,0,0,0,0
6.699999998,1,0,0,0,0
6.799999998,1,0,0,0,0
6.899999998,1,0,0,0,0
6.999999998,1,0,0,0,0
7.099999998,1,0,0,0,0
7.199999998,1,0,0,0,0
7.299999998,1,0,0,0,0
7.399999998,1,0,0,0,0
7.499999998,1,0,0,0,0
7.599999998,1,0,0,0,0
7.699999998,1,0,0,0,0
7.799999998,1,0,0,0,0
7.899999998,1,0,0,0,0
7.999999998,1,0,0,0,0
8.099999998,1,0,0,0,0
8.199999998,1,0,0,0,0
8.299999998,1,0,0,0,0
8.399999998,1,0,0,0,0
8.499999998,1,0,0,0,0
8.599999998,1,0,0,0,0
8.699999998,1,0,0,0,0
8.799999998,1,0,0,0,0
8.899999998,1,0,0,0,0
8.999999998,1,0,0,0,0
9.099999998,1,0,0,0,0
9.199999998,1,0,0,0,0
9.299999998,1,0,0,0,0
9.399999998,1,0,0,0,0
9.499999998,1,0,0,0,0
9.599999998,1,0,0,0,0
9.699999998,1,0,0,0,0
9.799999998,1,0,0,0,0
9.899999998,1,0,0,0,0
9.999999998,1,0,0,0,
10.1,1,0,0,0,
10.2,1,0,0,0,
10.3,1,0,0,0,
10.4,1,0,0,0,
10.5,1,0,0,0,
10.6,1,0,0,0,
10.7,1,0,0,0,
10.8,1,0,0,0,
10.9,1,0,0,0,
11,1,0,0,0,
11.1,1,0,0,0,
11.2,1,0,0,0,
11.3,1,0,0,0,
11.4,1,0,0,0,
11.5,1,0,0,0,
11.6,1,0,0,0,
11.7,1,0,0,0,
11.8,1,0,0,0,
11.9,1,0,0,0,
12,1,0,0,0,
12.1,1,0,0,0,
12.2,1,0,0,0,
12.3,1,0,0,0,
12.4,1,0,0,0,
12.5,1,0,0,0,
12.6,1,0,0,0,
12.7,1,0,0,0,
12.8,1,0,0,0,
12.9,1,0,0,0,
13,1,0,0,0,
13.1,1,0,0,0,
13.2,1,0,0,0,
13.3,1,0,0,0,
13.4,1,0,0,0,
13.5,1,0,0,0,
13.6,1,0,0,0,
13.7,1,0,0,0,
13.8,1,0,0,0,
13.9,1,0,0,0,
14,1,0,0,0,
14.1,1,0,0,0,
14.2,1,0,0,0,
14.3,1,0,0,0,
14.4,1,0,0,0,
14.5,1,0,0,0,
14.6,1,0,0,0,
14.7,1,0,0,0,
14.8,1,0,0,0,
14.9,1,0,0,0,
15,1,0,0,0,
15.1,1,0,0,0,
15.2,1,0,0,0,
15.3,1,0,0,0,
15.4,1,0,0,0,
15.5,1,0,0,0,
15.6,1,0,0,0,
15.7,1,0,0,0,
15.8,1,0,0,0,
15.9,1,0,0,0,
16,1,0,0,0,
16.1,1,0,0,0,
16.2,1,0,0,0,
16.3,1,0,0,0,
16.4,1,0,0,0,
16.5,1,0,0,0,
16.6,1,0,0,0,
16.7,1,0,0,0,
16.8,1,0,0,0,
16.9,1,0,0,0,
17,1,0,0,0,
17.1,1,0,0,0,
17.2,1,0,0,0,
17.3,1,0,0,0,
17.4,1,0,0,0,
17.5,1,0,0,0,
17.6,1,0,0,0,
17.7,1,0,0,0,
17.8,1,0,0,0,
17.9,1,0,0,0,
18,1,0,0,0,
18.1,1,0,0,0,
18.2,1,0,0,0,
18.3,1,0,0,0,
18.4,1,0,0,0,
18.5,1,0,0,0,
18.6,1,0,0,0,
18.7,1,0,0,0,
18.8,1,0,0,0,
18.9,1,0,0,0,
19,1,0,0,0,
19.1,1,0,0,0,
19.2,1,0,0,0,
19.3,1,0,0,0,
19.4,1,0,0,0,
19.5,1,0,0,0,
19.6,1,0,0,0,
19.7,1,0,0,0,
19.8,1,0,0,0,
19.9,1,0,0,0,
20,1,0,0,1,
20.1,1,0,0,1,
20.2,1,0,0,1,
20.3,1,0,0,1,
20.4,1,0,0,1,
20.5,1,0,0,1,
20.6,1,0,0,1,
20.7,1,0,0,1,
20.8,1,0,0,1,
20.9,1,0,0,1,
21,1,0,0,1,
21.1,1,0,0,1,
21.2,1,0,0,1,
21.3,1,0,0,1,
21.4,1,0,0,1,
21.49999999,1,0,0,1,
21.59999999,1,0,0,1,
21.69999999,1,0,0,1,
21.79999999,1,0,0,1,
21.89999999,1,0,0,1,
21.99999999,1,0,0,1,
22.09999999,1,0,0,1,
22.19999999,1,0,0,1,
22.29999999,1,0,0,1,
22.39999999,1,0,0,1,
22.49999999,1,0,0,1,
22.59999999,1,0,0,1,
22.69999999,1,0,0,1,
22.79999999,1,0,0,1,
22.89999999,1,0,0,1,
22.99999999,1,0,0,1,
23.09999999,1,0,0,1,
23.19999999,1,0,0,1,
23.29999999,1,0,0,1,
23.39999999,1,0,0,1,
23.49999999,1,0,0,1,
23.59999999,1,0,0,1,
23.69999999,1,0,0,1,
23.79999999,1,0,0,1,
23.89999999,1,0,0,1,
23.99999999,1,0,0,1,
24.09999999,1,0,0,1,
24.19999999,1,0,0,1,
24.29999999,1,0,0,1,
24.39999999,1,0,0,1,
24.49999999,1,0,0,1,
24.59999999,1,0,0,1,
24.69999999,1,0,0,1,
24.79999999,1,0,0,1,
24.89999999,1,0,0,1,
24.99999999,1,0,0,1,
25.09999999,1,0,0,1,
25.19999999,1,0,0,1,
25.29999999,1,0,0,1,
